;7,89135E+12;;;;;;00895-;DISCO CORTE BNA 12  180 X ;;P€;;;;;;0;;7,57;;;;835;;6320,95;;
;;;;;;;;1.6 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;00896-;DISCO CORTE CLASSIC AR ;;P€;;;;;;0;;2,01;;;;83;;166,83;;
;;;;;;;;102 115 X 1.0 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00897-;DISCO CORTE CLASSIC AR ;;P€;;;;;;0;;3,9;;;;347;;1353,3;;
;;;;;;;;102 180 X 1.6 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00898-;DISCO CORTE TELSTAR  10 X ;;P€;;;;;;0;;9,67;;;;9;;87,03;;
;;;;;;;;3/4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00900-;DISCO MULTI CORTE 115 X 1.0 ;;P€;;;;;;0;;4,9;;;;4;;19,59;;
;;;;;;;;X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00901-;DISCO DIAMANTADO ;;P€;;;;;;0;;27,98;;;;0;;0;;
;;;;;;;;PORCELANATO CORTAG   4 ;;;;;;;;;;;;;;;;;;
Start;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;P gina 1
;;;;;;;;1/2;;;;;;;;;;;;;;;;;;
http://ao3tech.com/;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;00902-;DISCO DIAMANTADO NORTON ;;P€;;;;;;0;;0;;;;;;0;;
;;;;;;;;PRO CONTINUO   110 X 20;;;;;;;;;;;;;;;;;;
